bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.527466,,,,,,,,,,,,,cb676b56-43f6-4a1f-b790-90e04845e07f,5,,"[60.0, 40.0]",69303,0,,True,,,1.4056476,,Right Foot,,,,"[60.3, 41.8]",,Ground Pass,,1.8248287,,,,David Villa Sánchez,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Left Wing,2,Barcelona,217,['5e177ad8-ce0f-4531-8b56-62e7fbc3f3eb'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.650,Pass,,60.0,40.0,60.3,41.8,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.864076,,,,,,,,,,,,,37afd2fe-1244-461e-98ab-a3c2ad3e9b99,7,,"[59.2, 41.8]",69303,0,,,,,-2.9933379,,Right Foot,,,,"[43.8, 39.5]",,Ground Pass,,15.570806,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['f2577a59-1085-4615-af70-f8ffd4ae6e60'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.341,Pass,,59.2,41.8,43.8,39.5,5,4,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.742054,,,,,,,,,,,,,f43c81b3-d46d-4c69-a365-904c96ee1766,10,,"[43.8, 39.5]",69303,0,,,,,-1.4086522,,Right Foot,,,,"[49.1, 7.1]",,Ground Pass,,32.830627,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['195b01ba-8004-40ab-b53d-66ae70e0b0db'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.065,Pass,,43.8,39.5,49.1,7.1,4,3,4,0,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.314379,,,,,,,,,,,,,e3604962-162f-4a70-b366-f434b57f8d34,13,,"[46.9, 9.3]",69303,0,,,,,2.0947156,,Left Foot,,,,"[39.1, 22.8]",,Ground Pass,,15.591344,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['ab5336f1-b147-4867-b388-a36aa20adebd'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.611,Pass,,46.9,9.3,39.1,22.8,4,0,3,2,0.011263,0.011105,-0.00015800000000000015,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.662883,,,,,,,,,,,,,eb92511d-958d-4bb5-b2c0-49225c28ac5c,16,,"[39.2, 22.6]",69303,0,,,,,1.6148853,,Left Foot,,,,"[37.7, 56.6]",,Ground Pass,,34.033073,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['1f18c0cd-46ae-47f7-9331-94e1a117d14f'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.256,Pass,,39.2,22.6,37.7,56.6,3,2,3,5,0.011105,0.011105,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.053841,,,,,,,,,,,,,0eb8245b-2296-4512-be44-5d2cbc442a63,19,,"[42.0, 57.6]",69303,0,,,,,-1.3609157,,Right Foot,,,,"[45.6, 40.7]",,Ground Pass,,17.279179,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7cf37dbe-2008-429e-b980-63dce50b5af0'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.355,Pass,,42.0,57.6,45.6,40.7,4,5,4,4,0.012692,0.012626,-6.600000000000009e-05,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.859862,,,,,,,,,,,,,d049a533-526b-4bc3-ac2f-fd83787aec41,22,,"[45.6, 40.7]",69303,0,,,,,1.5222235,,Right Foot,,,,"[46.3, 55.1]",,Ground Pass,,14.417004,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['10470aaa-60d7-49f5-8fe9-d2cbbafd8992'],14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.698,Pass,,45.6,40.7,46.3,55.1,4,4,4,5,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.623528,,,,,,,,,,,,,d8ad85e2-5ffc-44f1-b730-af3a4d8d0c30,26,,"[70.1, 48.1]",69303,0,,,,,-1.3618894,,Right Foot,,,,"[75.4, 23.1]",,Ground Pass,,25.555626,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['37779171-fb84-436e-98a4-a80866fc9104', '57171a1a-31f7-4eac-93e5-2f66775b4ff1']",20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.940,Pass,True,70.1,48.1,75.4,23.1,6,4,7,2,0.016895,0.019351,0.002456,0.002456,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.115564,,,,,,,,,,,,,162341c6-9fef-451c-83d8-f0de5df50490,32,,"[77.0, 2.7]",69303,0,,,,,2.0920722,,Right Foot,,,,"[71.2, 12.8]",,Ground Pass,,11.646888,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['37b1a589-4750-40e1-829d-4ede34ff706a'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.031,Pass,,77.0,2.7,71.2,12.8,7,0,7,1,0.017451,0.018703,0.0012519999999999996,0.0012519999999999996,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.963312,,,,,,,,,,,,,329c71de-6b04-4657-b929-dd6d0bf395d4,35,,"[71.2, 12.8]",69303,0,,,,,-2.176341,,Left Foot,,,,"[64.9, 3.7]",,Ground Pass,,11.067972,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['0eb041f9-e960-48e7-82ab-c2898421bf37'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.266,Pass,,71.2,12.8,64.9,3.7,7,1,6,0,0.018703,0.014736,-0.003967,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.204379,,,,,,,,,,,,,8ecde558-01ac-46a7-b58e-9b929389827e,38,,"[58.0, 4.7]",69303,0,,,,,2.143386,,Right Foot,,,,"[50.2, 16.8]",,Ground Pass,,14.39618,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['947a53af-cc3d-46b3-b316-4cac01fdb6fe'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.527,Pass,,58.0,4.7,50.2,16.8,5,0,4,1,0.012483,0.012147,-0.0003359999999999995,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,2.131411,,,,,,,,,,,,,40f49098-3921-4181-8221-0dc989cbb914,41,,"[51.9, 23.8]",69303,0,,,,,1.5473893,,Left Foot,,,,"[52.6, 53.7]",,Ground Pass,,29.908194,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['98862c94-d814-413e-99f2-d05dc0f44a1f'],31,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.438,Pass,,51.9,23.8,52.6,53.7,5,2,5,5,0.014291,0.014291,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.636908,,,,,,,,,,,,,cc5ea1eb-b4c0-4e2a-a368-e42a671f8bbd,44,,"[55.0, 54.2]",69303,0,,,,,-1.6074291,,Right Foot,,,,"[54.3, 35.1]",,Ground Pass,,19.112823,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['c17ae1bd-f2d9-45b5-80f8-de50b44e4e6d'],35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.406,Pass,,55.0,54.2,54.3,35.1,5,5,5,3,0.014291,0.014846,0.0005549999999999999,0.0005549999999999999,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.638585,,,,,,,,,,,,,be096083-e12d-42f1-a5f3-aea824163041,47,,"[56.6, 32.3]",69303,0,,,,,-1.1522521,,Left Foot,,,,"[69.5, 3.3]",,Ground Pass,,31.739723,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['14573ffd-dd17-4b5b-8363-3d2cf9254fb0'],39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.239,Pass,,56.6,32.3,69.5,3.3,5,3,6,0,0.014846,0.014736,-0.00010999999999999899,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.924489,,,,,,,,,,,,,1acf974e-5cea-403a-85cf-d2bd0a22fc2b,50,,"[69.5, 3.3]",69303,0,,,,,1.5478119,,Left Foot,,,,"[69.7, 12.0]",,Ground Pass,,8.702298,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['a1a00908-b5aa-4c12-afa0-c97c80ef3ba4'],41,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.942,Pass,,69.5,3.3,69.7,12.0,6,0,6,1,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.777014,,,,,,,,,,,,,8126bdc1-f343-492d-b5ed-53b72a8486a6,54,,"[65.7, 9.6]",69303,0,,,,,2.8277159,,Right Foot,,,,"[46.6, 15.8]",,Ground Pass,,20.081085,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['14fbf9b1-9216-490b-a6a7-29d011c16686', 'c495b07c-b1f0-4676-a942-881f0eac0e33']",44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.157,Pass,True,65.7,9.6,46.6,15.8,6,0,4,1,0.014736,0.012147,-0.002589000000000001,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.985131,,,,,,,,,,,,,bffc8f8b-5aa3-4f00-8962-534ae0a601bc,57,,"[47.8, 15.8]",69303,0,,,,,1.4701277,,Left Foot,,,,"[51.8, 55.4]",,Ground Pass,,39.801506,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['a2fd58f6-4728-4e1e-8a52-30800a5f108a'],47,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.509,Pass,,47.8,15.8,51.8,55.4,4,1,5,5,0.012147,0.014291,0.002144,0.002144,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.307066,,,,,,,,,,,,,6ef7f3da-2109-4536-8094-2e3872f7635f,60,,"[57.0, 57.8]",69303,0,,,,,-0.63625485,,Right Foot,,,,"[68.1, 49.6]",,Ground Pass,,13.800363,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['b2b85ba6-294e-4a79-b0c0-5103439a5f93'],51,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.045,Pass,,57.0,57.8,68.1,49.6,5,5,6,4,0.014291,0.016895,0.0026040000000000004,0.0026040000000000004,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.318709,,,,,,,,,,,,,2876fec3-3fe6-42ee-b97b-8f4dfec5569c,63,,"[68.1, 49.6]",69303,0,,,,,1.7284724,,Right Foot,,,,"[64.3, 73.5]",,Ground Pass,,24.200207,,,,Daniel Alves da Silva,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['f07ac726-0656-4021-b459-7164bf770c6a'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.563,Pass,,68.1,49.6,64.3,73.5,6,4,6,7,0.016895,0.014736,-0.0021589999999999995,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.34942,,,,,,,,,,,,,391a1b56-eb26-4768-8b39-1da14c8f963b,66,,"[64.3, 73.5]",69303,0,,,,,-2.3074527,,Right Foot,,,,"[52.6, 60.6]",,Ground Pass,,17.41551,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['3f662367-f13e-4cb2-acd2-b354230155ff'],54,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.922,Pass,,64.3,73.5,52.6,60.6,6,7,5,5,0.014736,0.014291,-0.00044500000000000095,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.035039,,,,,,,,,,,,,a44649cb-e3a5-412f-af07-766c7167077d,69,,"[52.9, 60.6]",69303,0,,,,,-0.5695621,,Right Foot,,,,"[64.3, 53.3]",,Ground Pass,,13.536986,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7ceb8aea-c198-4592-aa0f-1c6d35a487df'],56,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.655,Pass,,52.9,60.6,64.3,53.3,5,6,6,5,0.013845,0.016856,0.003011,0.003011,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.905428,,,,,,,,,,,,,4cb33171-8202-48a4-9627-ec6f8239a063,72,,"[64.3, 53.3]",69303,0,,,,,-0.94759697,,Right Foot,,,,"[73.5, 40.5]",,Ground Pass,,15.763248,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['fb606cbc-7a2b-4e2f-aa8c-408cf53d79da'],59,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.001,Pass,,64.3,53.3,73.5,40.5,6,5,7,3,0.016856,0.019971,0.0031149999999999997,0.0031149999999999997,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,3.671621,,,,,,,,,,,,,7d081019-38e2-4284-9a0f-9eb30594f0aa,77,,"[68.3, 47.6]",69303,1,,,,,2.900425,,Right Foot,,,,"[37.4, 55.2]",,Ground Pass,,31.820906,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,"['7bb8c6fc-d402-446a-8bde-e67e955bee66', 'd5659cfb-3529-49b7-ba3e-70c2f7757f48']",1,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.016,Pass,True,68.3,47.6,37.4,55.2,6,4,3,5,0.016895,0.011105,-0.00579,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.339559,,,,,,,,,,,,,4c345e83-adf8-4afd-b549-77cd5b4d9344,80,,"[43.0, 55.1]",69303,1,,,,,0.52807444,,Right Foot,,,,"[51.4, 60.0]",,Ground Pass,,9.72471,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['c8b014cf-73e0-436c-a49b-8a6d9e43e673'],8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.932,Pass,,43.0,55.1,51.4,60.0,4,5,5,5,0.012692,0.014291,0.0015989999999999997,0.0015989999999999997,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.669436,,,,,,,,,,,,,f2ea4190-3b88-4c01-bad8-1e79ab3a122d,84,,"[58.5, 45.7]",69303,1,,,,,-2.0622146,,Right Foot,,,,"[47.1, 24.4]",,Ground Pass,,24.15885,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['2c1dd2e4-2a7d-4f0d-951f-368cca31ab00'],16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.163,Pass,,58.5,45.7,47.1,24.4,5,4,4,2,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.938611,,,,,,,,,,,,,81eec029-0e90-4378-943d-4f2505e40035,87,,"[54.2, 34.4]",69303,1,,,,,1.5225881,,Left Foot,,,,"[55.3, 57.2]",,Ground Pass,,22.826519,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['4fa82f29-4af6-45c6-b9d9-cf77da2c8466'],22,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.343,Pass,,54.2,34.4,55.3,57.2,5,3,5,5,0.014846,0.014291,-0.0005549999999999999,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.671883,,,,,,,,,,,,,57c05172-465a-4ce8-aa1b-2b8cdc0666cd,90,,"[55.3, 57.2]",69303,1,,,,,-0.84781694,,Right Foot,,,,"[61.3, 50.4]",,Ground Pass,,9.068627,,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['cf597f10-9c74-4713-9fdb-1d5636e7fde4'],25,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.572,Pass,,55.3,57.2,61.3,50.4,5,5,6,4,0.014291,0.016895,0.0026040000000000004,0.0026040000000000004,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,2.013069,,,,,,,,,,,,,7c4f2609-5723-452a-bd93-537a91fd2df3,93,,"[63.7, 38.1]",69303,1,,,,,-1.4881629,,Left Foot,,,,"[66.4, 5.5]",,Ground Pass,,32.71162,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['60900ead-8d7c-40d1-8f7c-93a8afe66592'],30,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.071,Pass,,63.7,38.1,66.4,5.5,6,3,6,0,0.016895,0.014736,-0.0021589999999999995,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.08013,,,,,,,,,,,,,7bff6b73-11d3-4bdb-aca8-28bd57e1abb6,96,,"[74.3, 3.3]",69303,1,,,,,2.5659657,,Left Foot,,,,"[64.9, 9.4]",,Ground Pass,,11.205802,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['77a6852f-24bf-4d2d-94ea-3922cb270790'],33,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.963,Pass,,74.3,3.3,64.9,9.4,7,0,6,0,0.017451,0.014736,-0.0027150000000000004,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.4807,,,,,,,,,,,,,46ca5275-ee7f-4e63-a2a9-514496defabb,100,,"[57.1, 34.4]",69303,1,,,,,1.160669,,Right Foot,,,,"[65.1, 52.8]",,Ground Pass,,20.063898,,Incomplete,,Xavier Hernández Creus,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['8adac225-d5f3-4262-b53c-5cb708098357', '9fd77ff4-b3ec-4551-b974-7e45537aa4d9']",40,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.242,Pass,,57.1,34.4,65.1,52.8,5,3,6,5,0.014846,0.016856,0.0020099999999999996,0.0020099999999999996,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.8464,,,,,,,,,,,,,5c87cfe7-7627-401d-9f20-e475c0cf7a63,108,,"[77.0, 12.4]",69303,2,,,,,0.84097993,,Right Foot,,,,"[108.4, 47.5]",,High Pass,,47.09533,,Incomplete,,,,,,,Free Kick,1,From Free Kick,Daniel Parejo Muñoz,6595.0,Center Attacking Midfield,3,Getafe,216,['22f05a2c-4124-40b2-a9b2-1ee0309f9397'],20,,,,,,,,,,,,,,,,Getafe,216,00:02:20.947,Pass,,77.0,12.4,108.4,47.5,7,1,10,4,0.018703,0.108051,0.089348,0.089348,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.696851,,,,,,,,,,,,,fb6a46d9-c325-49b9-af25-c763f8fc8e43,110,,"[30.1, 26.9]",69303,2,,,,,-1.7270465,,Right Foot,,,,"[27.8, 12.3]",,Ground Pass,,14.780054,,,,Andrés Iniesta Luján,,,,,Recovery,1,Regular Play,David Villa Sánchez,12737.0,Center Forward,4,Barcelona,217,['86820ae3-d2fb-467b-b6f4-72a3793f98fc'],24,,,,,,,,,,,,,,,,Barcelona,217,00:02:24.801,Pass,,30.1,26.9,27.8,12.3,2,2,2,1,0.010013,0.009424,-0.0005889999999999992,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.4412,,,,,,,,,,,,,ff18648a-46cf-4d3c-82cf-8b70b83b0562,117,,"[42.5, 3.7]",69303,2,,,,,0.39276066,,Right Foot,,,,"[49.5, 6.6]",,Ground Pass,,7.5769386,,Incomplete,,Adriano Correia Claro,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,"['41af0645-a31b-4385-aa93-c34c41d48ae4', '8c6aa7e6-02a4-444d-94b1-ceb8e0f3edc2', '919fb4c2-be15-4039-a162-59d4b7179dce']",29,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.677,Pass,True,42.5,3.7,49.5,6.6,4,0,4,0,0.011263,0.011263,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.7789,,,,,,,,,,,,,dcbb95f2-0074-4c2c-b569-b73be5c8bdb9,122,,"[69.1, 61.0]",69303,2,,,,,1.6973884,,Right Foot,,,,"[67.7, 72.0]",,Ground Pass,,11.088733,,,,Borja Fernández Fernández,,,,,,1,Regular Play,Francisco Javier Casquero Paredes,26144.0,Left Defensive Midfield,5,Getafe,216,['10d5d8b9-8efd-4982-a93c-fdd5463f2904'],34,,,,,,,,,,,,,,,,Getafe,216,00:02:34.243,Pass,,69.1,61.0,67.7,72.0,6,6,6,7,0.016118,0.014736,-0.0013819999999999995,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.2743,,,,,,,,,,,,,f822ebfd-4aff-4e2f-be7e-4692f1f60dac,124,,"[67.7, 72.0]",69303,2,,,,,-1.670465,,Right Foot,,,True,"[65.3, 48.0]",,Ground Pass,,24.119701,,,,Juan Ángel Albín Leites,,,,,,1,Regular Play,Borja Fernández Fernández,11294.0,Right Defensive Midfield,5,Getafe,216,['8904774a-9428-4d9d-af17-d65e9464b140'],35,,,,,,,,,,,,,,,,Getafe,216,00:02:35.022,Pass,,67.7,72.0,65.3,48.0,6,7,6,4,0.014736,0.016895,0.0021589999999999995,0.0021589999999999995,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
